Sample;UsutuV.f.54;JEVG.Ig-aroa.ja.41;JE.2.j.38;f.90;SLEV.jj.51;Deng.2.w2.31;0,1M NaPP Standard pH 9;YFV.f.66;NoVertHost.f.69;aroa.JEVG.Ig.f.44-39;UsutuV.j.55;f.43-16;Deng.f.17;Edge_Hill.YFVG.j.60;WNV.2.w2.13;YFV.f.65;YFV.f.64;NoVertHost.0.f.73;RioBrVG.0.ja.85;TBV.f.58;Deng.4.w2.19;TBV.f.57;TBV.f.56;WNV.1b.f.10;TBVG.f.80-77;SeaBTB.ja.72;WNV.2.f.8;f.92;f.91;TBVG.f2.77;f.97;f.96;f.95;f.94;f.93;f.99;f.98;MVEV.JEVG.MV.ja.48;YFV.3.f.68-67;JEVG.Ig.f.39;SLEV.jj.52;JEVG.Ig-aroa.ja.40;Deng.4.f3.18;RioBrVG.ja.74;Deng.3.f.32;WNV.f.1;WNV.1a.f.7;YFVG.f2.62-61;MVEV.JEVG.MV.j.49;WNV.f.9;JE.jj.36;MosqFlav.3.f.71-70;Deng.1.f3.29;Meaban.ja.83;PowVG.f.81;JEVG.Ig.f.42;Edge_Hill.YFVG.j.59;WNV.2.w2.14;Biotin-Marke_2,5µM;WNV.2.f2.12;JEVG.Zi.f.45;JE.jj.35;JE.j.33;RioBrVG.1.f2.84;SLEV.ja.50;JE.j.34;JEVG.Nt.ja.53;Tyuleniy.f.83;WNV.1a.f.11;TBVG.f.76;YFVG.ja.63-61;YFVG.f.61;fw.23;MosqFlav.f.70;JEVG.Zi.f.46-45;JE.jj.37;TBVG.f2.78;f.86;f.87;f.88;JEVG.MV.f.47;RioBrVG.f.75-75;YFV.1.ja.67;TBVG.f.79-77;Deng.1.f3.30
H2O.x321H02.x322H02;0.00277022381039;0.000163121892953;-0.000286370812509;-0.00121909579614;0.00414840930885;0.00267436381514;0.00455486366809;0.000361022237635;-0.00124562495396;0.000158803298761;0.000283445206342;0.00314778990356;0.00888552244654;0.00115681629498;-0.000989457981411;-0.00218297618098;0.00225045841545;0.00434920473017;0.000223735154198;0.00177141225345;-0.00115068061994;0.00268394265485;0.000614489481662;0.00189632489004;-0.00212831121377;0.00279328028799;0.00173000252153;0.000563670455347;0.00507522736479;-0.00101470999389;0.00596643540238;-0.00188132931647;0.00291288848953;0.00417961361052;0.00196993808231;0.00234985052095;0.00292485669429;-0.000614677577576;0.00541383595335;0.0026829675034;0.00449506097318;0.00144386817979;3.53711575287e-005;-0.00163097137912;0.00132430910146;0.00274664741924;-0.00152783224947;0.000182223972872;-0.001606923031;0.000519639276571;-0.000884347422261;0.00149047563813;-0.000214865977058;0.000919748945715;0.00133999631733;-0.0021256008211;-0.00163198058325;0.00115308180383;1.0;0.00257003942628;0.00293839905876;-0.00212369731798;0.00017569883666;0.000270149708405;3.83955323456e-005;0.0039786286155;-0.00431867156603;0.00130568072717;0.00272398370586;0.00382562162439;-0.000665018947652;-0.00445212009919;0.0527135906821;-0.00203824346806;0.0195080737405;0.00180066011294;-0.00216857822396;-6.77926280875e-005;0.00178295798602;0.00396712498831;0.000833535441658;0.00138364199974;0.000407617099026;0.00321324891641;0.00516731511487
JEV.23.3x10-4.x321B02.x322B02;-0.000184201324975;0.0005540000381;0.00693721934817;0.0102255159224;0.000215542702773;0.00185747491325;-0.0169205443378;0.00459765087861;0.0214692483897;0.000545163702893;8.98111237421e-005;-0.00202474603288;-0.00195473298315;0.0145491950026;0.0079785955918;0.00363558813553;0.0099558338322;2.91815245168e-005;0.00699429412906;0.0203090314268;0.0142481832196;0.0054482114008;-0.00232314794129;0.00186789996767;-0.00228022270567;-0.00531644303655;0.00252995329926;-0.00241860748144;0.00714354649012;-0.00255995878941;0.0130796490009;0.00669153386242;-0.000281144564766;0.00108587787951;-0.00155936206656;0.00195284169924;0.00468274450119;8.28878839283e-005;-0.00071933189679;0.000658202641371;0.0201985648496;-0.00043831048319;0.00521954504084;0.00551740173042;-0.000472419590375;-0.00154490062338;-0.00348439653282;0.00249524981916;5.75908498035e-005;0.00206687381794;-0.00115026566305;0.00132780238407;0.023011326047;0.0101888133511;-0.000307664300806;0.0128583891697;-0.00644189846182;0.000623433023721;1.0;-0.00167511644012;0.0112393314862;0.00764567852667;0.0018433542291;0.00813381576799;0.000401640120564;-0.00170819172797;0.0217517660127;0.00882543569493;-0.000702250174359;0.00381827423695;0.0364147160448;-0.00390976853584;0.0210483767534;-0.000517073248955;0.00506703030785;-0.00526702089961;0.0012784014141;0.00983148179659;0.00824501607206;0.00119285780001;0.0227560013077;0.0094863256491;0.00811830457963;0.0240765272684;0.0242072517232
JEV.25.5x10-4.x321A02.x322A02;0.00195437853502;-0.00192977329706;0.000898389769011;0.00393771120008;0.00143695529856;-0.00426590311996;-0.00666553934671;0.00542539134416;0.0029868227165;-0.00119988957152;0.00477588733697;-0.00118339866018;-0.00559170121363;-0.00386975010541;-0.00327778464571;-0.00134763161271;0.00326157782443;0.00169087053515;0.0123279209227;-0.000106693148553;0.00420542678329;0.00798303188894;-0.00408657151611;0.00151837708916;-0.00194490809279;-0.00163754106131;0.00112177016296;-0.00332854207397;0.00101827649543;-0.00180424900947;0.00260149441995;0.00507180298587;0.0176577914658;0.00174648250706;-5.42525368334e-005;0.00321584471433;0.00729709029356;0.00447911221021;0.002824029948;-0.00132981354151;-0.00187218023642;-0.0017068691027;0.00208870154339;0.000687720429014;-0.000422868740429;0.00274115829267;-0.00122413527637;-0.00301212790448;0.00474648488633;-0.00356296581082;0.00568676640289;-0.000412554110964;-0.00205918833699;0.00581821993543;0.00219429039764;-0.000833666939134;-0.00538482239811;0.0015874128271;1.0;-0.0012333769343;-0.00364949455648;0.00108491757672;0.00725167445993;-0.00214923165427;-0.00293746759159;0.00196172840609;0.00437590883846;0.00059886375751;-0.00185807220241;0.0114921317802;-0.000906196956994;-0.0031874957094;0.0274871407803;-0.0020085845298;0.0130599202488;-0.00292299034353;0.00306437687874;0.000268457946086;0.00807955715301;0.00369973870022;-0.00171167366263;-0.00110143741452;0.0036844802459;0.00613462856043;-0.00578989399026
LoiLL.27.7x10-4.x321A01.x322A01;0.0138842381184;0.0043279733139;-0.00164682459497;0.166824486266;0.00567856026921;0.00299323383551;-0.00204872619983;0.00212828177848;0.00149729809954;0.000182601572488;0.000314528386448;0.0105276589148;0.0816506803803;-0.00160471861946;0.00539885651128;0.000635004262423;-0.00114328980915;0.176860670309;0.00720727244217;0.745381736215;0.000489447235915;0.158431561875;0.639633576099;0.0311831124365;0.953956615752;-0.00097134679508;0.00606917093184;0.933596336926;0.0123959579407;0.0256027061625;0.875301387236;0.192076484751;0.338387213055;0.0494283691612;0.0216650512115;0.51077346264;0.0240824263536;0.00323758991814;0.00951034646488;0.0129296090304;0.00812269593702;0.00127910742435;0.00744783831937;0.00159669932136;0.018698488171;-0.00151917654703;0.00165935077358;0.0635257974909;0.00254444157471;0.0276796262067;0.00678921445709;0.00455556522539;0.00662908913613;0.000956375038817;0.807603855872;-0.0052156179993;0.000475482534841;-0.00122396775214;1.00190859749;0.00897286481276;0.618793170569;4.03541392584e-005;0.00224335120538;-0.00384998602368;-0.00174743590946;-0.0029572665071;-0.00264496765619;0.0236838578276;-2.42106738373e-005;0.424118837305;0.00772026205162;0.902567928703;0.0633888128788;-0.000609754276889;0.0757973919946;-0.0044193821666;0.00329235399704;0.78720356671;0.668083129816;0.0630800206195;0.0146251028573;0.427629458405;-0.00301919899198;0.855508677543;0.0129912537291
LoiLL.28.8x10-2.x321H01.x322H01;0.00299278554455;-0.0011166095351;-0.00198667487188;0.263129528008;0.000577689687498;-0.00114206684103;0.00192701303207;0.00117292329577;0.0162788035519;0.0025699983963;-0.000815910113417;0.002395596041;0.108855992453;-0.000762351164837;0.000687813829214;0.00267798706606;0.00307962484239;0.268849367324;0.0129785026394;0.785790492483;-0.00100696184958;0.2188919913;0.695497829507;0.0333995484135;0.980541943117;0.0023155512625;0.00749751662971;0.917442060292;0.00757710468159;0.0230496184582;0.879706969613;0.233863800758;0.44229086557;0.0761975686819;0.0226331120319;0.647121146072;0.0149030832184;-0.00265083111765;0.0130313889534;0.0123473032696;0.00214156038358;0.000646117529874;-0.00421964985666;0.00123114888826;0.0191049750673;0.00524945496489;0.00259556099978;0.0764264650527;-0.00300132890304;-0.00150090005206;0.00410693992669;0.00299205281412;0.00243681125665;0.000157995079111;0.894028750367;0.00789438486866;-0.00140758495075;0.00111023047933;0.97008196905;0.00120629552074;0.7221114416;-0.00170226607459;0.00235364872992;-0.000911768784139;0.00161133092917;-0.00134725032282;-0.00236487178236;0.0235183227769;0.00599193641944;0.509670069773;0.00278047025519;0.919781915067;0.0701932355641;0.00555080942211;0.0970965674253;0.0254338022679;-0.00610606023095;0.860459316454;0.725502390041;0.11443143735;0.00904385680204;0.6813118199;0.00184576755488;0.898225760448;0.000608745897804
MVV.15.14x10-3.x321E01.x322E01;0.0664733043295;-0.000847164329323;0.00456150290009;0.00842085311101;-0.00439973210753;0.00142753292326;-0.00112424062939;0.00465979996803;0.00145365850894;-0.0017781826377;-0.00358314483931;0.864127816002;0.108442251077;0.0293578006353;0.755906441385;0.0080586471489;0.00224570728213;0.0117708085499;0.00160793898114;0.00114989097483;0.0192984973854;0.00135209139017;0.0137117276515;0.174287526206;0.0101216306613;0.00457851537577;0.970420915098;0.49657507721;0.0152109752422;0.000902793295171;0.0376781912588;0.633744055403;0.946537260495;0.963094723219;0.0829565628694;0.0916865256787;0.863284807778;0.717318866468;0.0130130277573;0.00274073832293;0.0225191364624;-0.00218666650938;0.0134980007073;0.0323232688958;0.168379458669;0.0558912883896;0.0679453292201;0.00655499827257;0.969427425312;0.688176262882;0.0207029697351;0.0315356498752;0.000207187551229;-0.00291776234854;0.0496729561296;0.00198287627251;-0.00046877419377;0.46143066088;0.972138683916;0.0345199104557;0.697729740232;-0.000262161552749;0.00195592563269;0.000185828656153;0.00813196992598;0.0171568796333;-0.00322582286644;0.0310187969913;0.0691760779376;0.00594925221543;0.000249201991398;0.67390733755;0.0597642688399;0.0159544859698;0.409126122761;-0.00036853814672;0.0104586510393;0.866718868339;0.43337418712;0.00131546323489;0.682279583504;0.159347535509;0.000197554452757;-0.000776029891439;-0.00412853093435
SLEV.29.7x10-3.x321G01.x322G01;0.0366978778613;0.0149174991305;-0.000419840897208;0.00145422800591;0.975945953869;0.0232001868072;0.00683355450283;0.0013533295154;0.00217348055334;-0.00104527889812;0.00408619673314;0.058438011487;0.0461043629713;0.0057119704511;-0.00292346203487;0.00440358208518;0.00591547121847;0.00517264856611;0.00158343113132;-0.00137627114684;0.00490627823785;0.00731974419173;0.0211416924107;0.00122784318635;0.000629320676547;0.0375167987613;1.78115518655e-005;-0.00143709237923;0.0187634232886;-0.00195782627647;0.00196918287913;-0.0049475433902;-0.00180819655676;0.00338040568247;0.454990429472;0.00378178030536;0.00244818586118;0.000135923632363;-0.00185139596878;-0.00750814249406;0.446866289092;-0.00168806178623;0.00212919897586;0.00330874399867;0.77486491323;0.0112208457992;0.015893540892;0.00219130476721;0.0037244205585;0.160814759007;-0.00438680310819;0.000163368024221;-0.00158765961171;0.00392353277344;0.0190713540585;-0.000459757171817;0.00600607118717;1.06344279055e-005;1.22571550837;0.00667501418085;0.00770987677181;-0.00189585258188;-0.000556018266447;-0.00101529898278;0.78106467161;-0.00404503506553;-0.00170137542961;0.075856873743;0.00497333691849;0.00654928417479;0.00492012183702;0.00260801234312;0.0640108068715;-0.00125035530982;0.0348859857928;-0.00235314055785;0.00161778187294;0.00881163792107;0.00148760023731;0.0204287489464;0.18858335519;-0.0011559303574;0.000944849125353;-0.00243966745182;0.00208932760828
TBEV.39.10-4.x321F01.x322F01;0.00832666946955;0.00132383980711;0.00227608652392;0.874657117047;-0.00118229290414;0.00107457703801;0.00152099616543;0.0250668157553;0.00270693054243;0.000190434788237;5.1479731897e-006;0.00126534926589;0.410769111141;0.00046399182532;0.00558940672668;0.0273603963813;0.0008715279248;0.00828138657469;0.00710230124423;0.743409640992;0.00900149493798;0.155252659926;0.742698087587;0.0190138733848;0.123171134795;-0.00527853498834;0.00172069803165;0.790226021492;0.256932666146;-0.00195599530144;0.10029122278;0.0115744154582;0.222942234556;0.0242659025682;0.993795105651;0.0267591128841;0.00245087774352;-0.000501275742948;0.0361985460105;0.0208927879538;0.0124387575108;-0.00475586358488;0.00667576699553;0.00127689402244;0.00829793507479;0.103985273874;0.0208243864131;0.00814573737625;0.00311094208811;0.0069745246196;0.00027066464736;0.00392835352277;-0.00175162065072;0.000987591035958;0.0337681992319;0.0160016671114;0.00375175086593;-0.00152178517096;1.00176889065;-0.00269274694211;0.312726005786;0.0275629939478;-0.00255445655623;0.0258897854976;0.00157095607974;-0.00186623351727;0.0259653267353;0.949222679124;0.00322999460541;0.00406635056464;0.00022852841761;0.0321623947227;0.0631860278319;0.00183450817885;0.0270571009281;0.000916010650108;-0.00156889366019;0.409189565408;0.294614920428;0.00626503311557;0.00321870968465;0.261921770264;0.00253972832511;0.00405018405972;0.0256103002557
Usutu.33.1x10-2.x321C02.x322C02;0.000605246218255;-0.00112891841614;0.00261998479044;-0.00203250329409;-0.000863741536344;0.00174148036494;0.00145736884606;0.00413480473042;0.00197326093182;0.00060656970397;-0.000843899001147;0.000596229786152;-0.00064287447883;0.00165601464064;-0.00300678093579;0.0310069506426;0.00269227188441;0.000666112148737;0.000278812296843;-0.00017747485713;-0.00183225369135;-0.00193515917315;0.00269917437717;0.00654828969764;0.00658978834928;0.000944563669873;-0.00255564008114;0.00158366437694;-0.000881096617923;0.000598086258992;-4.49846904451e-006;-0.00350799942979;0.00397787399419;-0.000652672848452;0.00940501935526;0.000138841161974;-0.00244173695327;-0.000348881697611;-0.00280871680837;-0.00234895465634;-0.000973898872481;-0.00126783417912;-0.00120309134074;0.000852754750359;0.00109140840968;-0.000292991832021;-0.00167916365198;-0.00135777757896;-0.00197797532605;0.000479823719285;-0.00361367785283;0.00105447922788;-0.0012083256793;-0.00180081449177;-0.00225609369893;-2.11184773118e-005;0.0279485482472;0.0110162306583;1.0;-0.00199091697623;0.0297450742533;0.00184472710805;0.00130875063232;0.00138343946128;-0.000408708931203;0.00439443616088;0.00105085912211;-0.00288998203046;0.00213232452772;0.00812126425356;0.00291096295521;0.00253681966866;0.0356983677621;-0.00448022226845;0.0179486818556;0.000210547507287;-0.00147766987387;0.00307409635136;-0.000452057382458;0.00620041997061;0.00577875635161;-0.000977850875922;-0.00153875807522;-0.000331701204528;-0.000889238091555
Usutu.36x10-2.x321D02.x322D02;0.985037182904;0.0258767853431;0.00194388360878;-0.00198530240415;-9.05373698928e-005;0.00418692482453;-0.000342097952755;-0.000724733408926;-0.000340437719564;0.176181678132;0.914578277825;0.051994703618;0.00151250200658;-0.000409666825277;0.00173865366972;-0.000749185192185;0.002142828444;0.00205046638651;-0.000667726400124;0.000700478999879;-0.00296061151007;0.00392547471628;-0.000681590390626;0.000497682666039;0.00030968518293;0.000542005543496;0.00943483525908;0.0018536590868;0.00412893021548;0.00303188506379;-0.000877950915927;0.00375285497492;0.0110128110253;0.0420932536236;-0.00130170129478;-0.000773094445363;0.0178806190761;0.000891229425421;0.00115268673867;0.000524324975838;0.00121416478592;-0.0019650995077;0.00272258264761;-0.000713909804257;0.0187560692331;0.00548531717824;0.00862083660472;0.00288883742166;0.00137518097216;0.0349275760553;0.00160508069203;0.00251752296116;0.00867172351602;-0.00338462364681;0.00221816891869;0.000467724896374;0.000479542973851;0.00680764852167;0.988495277717;0.0572543541866;0.00515538316314;-0.000421255319576;-0.0018992783392;0.00297857826683;0.0017435469382;0.0132028494878;0.00816145516664;0.000607579030208;0.00323057666782;8.34467190493e-005;-0.00140337831722;-0.00151178671374;0.0472165230156;0.0016151300261;0.0278654447074;-0.000926779786388;0.0054836377855;-0.00124112976928;0.00316224799422;-0.00105090066672;-0.00133602907757;-0.00169459430308;0.00296071837567;0.0012444135914;-0.00159970339926
