Spot ID	Substance	Confidence	Signal	Valid	Background	Mean
1	JE.j.34	0.834865	-0.007272	0	0.884825	0.892097
2	SLEV.ja.50	0.901538	-0.003286	0	0.894754	0.898040
3	WNV.2.w2.13	1.000000	-0.001367	0	0.898980	0.900347
4	YFV.1.ja.67	0.809962	0.001840	0	0.897509	0.895669
5	JE.2.j.38	1.000000	0.003100	0	0.899810	0.896710
6	MVEV.JEVG.MV.ja.48	0.802190	-0.003909	0	0.898964	0.902874
7	WNV.1a.f.11	0.921327	-0.003408	0	0.901801	0.905209
8	TBV.f.58	0.834865	-0.007269	0	0.897976	0.905245
9	Deng.4.f3.18	0.901538	-0.005050	0	0.899548	0.904598
10	JEVG.MV.f.47	0.863636	0.005854	0	0.903257	0.897403
11	WNV.f.1	0.742069	-0.007892	0	0.901699	0.909592
12	RioBrVG.0.ja.85	0.802190	-0.005954	0	0.901857	0.907811
13	UsutuV.j.55	0.883929	0.004791	0	0.906881	0.902090
14	TBVG.f.76	0.862851	0.008862	0	0.909273	0.900411
15	f.87	0.802190	0.007049	0	0.906953	0.899904
16	Deng.1.f3.29	0.834865	0.002909	0	0.906928	0.904018
17	Deng.3.f.32	0.839286	0.007946	0	0.910486	0.902540
18	JEVG.Nt.ja.53	0.776646	0.007880	0	0.910448	0.902568
19	PowVG.f.81	1.000000	0.006767	0	0.911408	0.904641
20	f.97	0.802190	0.007620	0	0.910095	0.902476
21	f.96	0.776646	-0.011249	0	0.898920	0.910169
22	f.95	0.802190	0.003115	0	0.892990	0.889875
23	f.94	0.640283	0.008008	0	0.901596	0.893588
24	Deng.2.w2.31	0.901538	0.005782	0	0.902394	0.896611
25	JEVG.Ig.f.39	0.572091	-0.008567	0	0.902357	0.910924
26	WNV.1b.f.10	0.928571	-0.006482	0	0.901844	0.908326
27	YFV.3.f.68-67	0.822091	0.005345	0	0.906085	0.900740
28	TBV.f.57	0.921327	0.003894	0	0.907451	0.903557
29	YFVG.ja.63-61	0.640283	0.005692	0	0.905321	0.899629
30	WNV.f.9	0.863636	-0.007170	0	0.901997	0.909168
31	f.98	0.792208	-0.007249	0	0.904251	0.911500
32	f.92	0.750000	0.003275	0	0.906908	0.903633
33	YFVG.f2.62-61	0.750000	-0.004990	0	0.906868	0.911858
34	MosqFlav.3.f.71-70	0.878433	-0.000547	0	0.907643	0.908190
35	Tyuleniy.f.83	0.665826	0.005460	0	0.908692	0.903232
36	Meaban.ja.83	1.000000	0.007176	0	0.914942	0.907767
37	Edge_Hill.YFVG.j.60	0.928571	0.004767	0	0.911782	0.907015
38	NoVertHost.f.69	0.742069	0.004552	0	0.911176	0.906624
39	TBVG.f2.77	0.784963	-0.004523	0	0.911640	0.916163
40	WNV.2.f2.12	0.736733	0.007248	0	0.913978	0.906730
41	YFVG.f.61	0.784963	0.009717	0	0.911041	0.901325
42	TBV.f.56	1.000000	0.007936	0	0.909381	0.901445
43	WNV.1a.f.7	1.000000	-0.001261	0	0.897909	0.899170
44	RioBrVG.f.75-75	1.000000	-0.001185	0	0.902173	0.903358
45	TBVG.f.79-77	0.685727	0.003938	0	0.901023	0.897085
46	JEVG.Zi.f.46-45	1.000000	0.017861	0	0.903498	0.885637
47	SLEV.jj.52	1.000000	-0.005112	0	0.903020	0.908133
48	JEVG.Ig-aroa.ja.41	0.776646	0.000024	0	0.904209	0.904185
49	aroa.JEVG.Ig.f.44-39	0.726487	0.001450	0	0.908074	0.906624
50	JEVG.Ig.f.42	0.822091	0.002849	0	0.908692	0.905843
51	f.86	0.928571	0.004719	0	0.910906	0.906187
52	RioBrVG.1.f2.84	0.802190	0.002475	0	0.909901	0.907426
53	TBVG.f.80-77	0.839286	-0.000263	0	0.910272	0.910534
54	TBVG.f2.78	0.802190	0.000442	0	0.909924	0.909481
55	JEVG.Zi.f.45	0.921327	0.000633	0	0.909387	0.908753
56	NoVertHost.0.f.73	0.671327	0.004487	0	0.911490	0.907003
57	Deng.4.w2.19	0.651538	0.007239	0	0.911440	0.904202
58	WNV.2.w2.14	0.750000	0.003594	0	0.911919	0.908326
59	UsutuV.f.54	0.612851	0.005598	0	0.913348	0.907750
60	Deng.f.17	0.765174	0.006920	0	0.913862	0.906942
61	SeaBTB.ja.72	0.921327	-0.002504	0	0.913085	0.915590
62	JE.j.33	1.000000	0.004222	0	0.913448	0.909226
63	Deng.1.f3.30	0.839286	-0.008132	0	0.905230	0.913362
64	MVEV.JEVG.MV.j.49	0.901538	-0.000938	0	0.897038	0.897975
65	JE.jj.36	0.863636	0.004352	0	0.900165	0.895813
66	SLEV.jj.51	1.000000	-0.000803	0	0.901735	0.902538
67	MosqFlav.f.70	0.526646	-0.006402	0	0.903215	0.909617
68	JEVG.Ig-aroa.ja.40	0.651538	-0.005921	0	0.905750	0.911671
69	JE.jj.37	0.665826	0.003612	0	0.908117	0.904504
70	JE.jj.35	0.928571	-0.002948	0	0.909164	0.912112
71	YFV.f.66	0.698502	0.004731	0	0.911885	0.907154
72	Edge_Hill.YFVG.j.59	0.698502	-0.004380	0	0.911253	0.915633
73	YFV.f.65	0.784963	0.003422	0	0.912271	0.908850
74	RioBrVG.ja.74	0.863636	-0.000501	0	0.912165	0.912665
75	YFV.f.64	0.878433	-0.002927	0	0.909713	0.912641
76	WNV.2.f.8	1.000000	0.001487	0	0.912587	0.911100
77	f.88	0.802190	-0.002986	0	0.910942	0.913928
78	f.43-16	0.878433	0.000626	0	0.911339	0.910713
79	fw.23	1.000000	0.048467	0	0.912933	0.864466
80	f.93	0.665826	0.003163	0	0.913285	0.910122
81	f.99	0.863636	0.004571	0	0.914692	0.910122
82	f.90	0.742069	-0.004625	0	0.913763	0.918389
83	f.91	0.742069	0.004436	0	0.912756	0.908320
84	0,1M NaPP Standard pH 9	0.802190	-0.005732	0	0.909211	0.914942
85	Biotin-Marke_2,5µM	1.000000	0.673044	0	0.886221	0.213177
87	JE.j.34	1.000000	0.001008	0	0.902544	0.901536
88	SLEV.ja.50	0.873096	-0.001557	0	0.904202	0.905759
92	WNV.2.w2.13	0.873096	-0.000733	0	0.911747	0.912480
93	YFV.1.ja.67	0.651538	0.003071	0	0.911941	0.908870
94	JE.2.j.38	0.526646	-0.001251	0	0.913221	0.914472
95	MVEV.JEVG.MV.ja.48	0.822091	-0.001348	0	0.912312	0.913660
96	WNV.1a.f.11	0.878433	0.001427	0	0.911553	0.910126
97	TBV.f.58	0.834865	0.001509	0	0.913042	0.911533
98	Deng.4.f3.18	0.928571	-0.002232	0	0.911069	0.913301
102	JEVG.MV.f.47	0.665826	0.002041	0	0.914813	0.912771
103	WNV.f.1	0.822091	0.003476	0	0.912714	0.909239
104	RioBrVG.0.ja.85	0.613636	0.004377	0	0.912273	0.907896
105	UsutuV.j.55	0.802190	0.005282	0	0.911422	0.906140
106	TBVG.f.76	0.671327	0.004436	0	0.897807	0.893371
107	f.87	0.589286	0.001400	0	0.899626	0.898226
108	Deng.1.f3.29	0.702922	0.002129	0	0.902924	0.900795
109	Deng.3.f.32	0.839286	0.003973	0	0.906269	0.902296
113	JEVG.Nt.ja.53	0.613636	0.002482	0	0.912074	0.909592
114	PowVG.f.81	0.612851	-0.004261	0	0.912639	0.916900
115	f.97	0.750000	-0.003311	0	0.912472	0.915783
116	f.96	0.863636	0.003256	0	0.914649	0.911394
117	f.95	0.878433	-0.001485	0	0.913818	0.915303
118	f.94	0.863636	0.003672	0	0.913475	0.909804
119	Deng.2.w2.31	1.000000	0.011638	0	0.914269	0.902631
123	JEVG.Ig.f.39	0.671327	0.004225	0	0.912909	0.908684
124	WNV.1b.f.10	0.883929	0.000544	0	0.912963	0.912419
125	YFV.3.f.68-67	0.640283	0.003895	0	0.914017	0.910122
126	TBV.f.57	0.702922	-0.005245	0	0.910812	0.916057
127	YFVG.ja.63-61	0.612851	0.002824	0	0.899743	0.896919
128	WNV.f.9	0.765174	0.004184	0	0.902541	0.898357
129	f.98	0.834865	0.003208	0	0.908270	0.905062
130	f.92	1.000000	-0.001384	0	0.907534	0.908918
134	YFVG.f2.62-61	0.834865	0.003325	0	0.914993	0.911669
135	MosqFlav.3.f.71-70	0.878433	-0.002025	0	0.913407	0.915432
136	Tyuleniy.f.83	0.901538	0.003521	0	0.916479	0.912958
137	Meaban.ja.83	0.809962	-0.002896	0	0.916410	0.919305
138	Edge_Hill.YFVG.j.60	0.552190	-0.004151	0	0.916857	0.921008
139	NoVertHost.f.69	0.776646	0.002548	0	0.917703	0.915155
140	TBVG.f2.77	0.572091	0.002967	0	0.916132	0.913165
144	WNV.2.f2.12	0.863636	0.000916	0	0.917397	0.916481
145	YFVG.f.61	0.802190	-0.000452	0	0.915861	0.916314
146	TBV.f.56	0.776646	0.000479	0	0.913750	0.913270
147	WNV.1a.f.7	0.839286	-0.012412	0	0.898760	0.911173
148	RioBrVG.f.75-75	0.928571	0.002802	0	0.899266	0.896463
149	TBVG.f.79-77	0.839286	0.000522	0	0.903696	0.903174
150	JEVG.Zi.f.46-45	1.000000	0.023630	0	0.908167	0.884537
151	SLEV.jj.52	0.776646	0.001273	0	0.910804	0.909531
152	JEVG.Ig-aroa.ja.41	0.702922	0.002721	0	0.911147	0.908426
153	aroa.JEVG.Ig.f.44-39	0.822091	-0.000159	0	0.911424	0.911584
154	JEVG.Ig.f.42	0.500000	0.003716	0	0.914080	0.910364
155	f.86	1.000000	0.001528	0	0.913725	0.912198
156	RioBrVG.1.f2.84	0.863636	0.003279	0	0.914673	0.911394
