Spot ID	Substance	Confidence	Signal	Valid	Background	Mean
1	JE.j.34	0.844887	0.008594	0	0.842850	0.837415
2	SLEV.ja.50	1.000000	-0.007154	0	0.846950	0.851496
3	WNV.2.w2.13	0.841906	-0.009050	0	0.851385	0.857166
4	YFV.1.ja.67	1.000000	-0.015621	0	0.852872	0.862867
5	JE.2.j.38	0.819369	0.019822	0	0.862964	0.850130
6	MVEV.JEVG.MV.ja.48	0.836061	-0.008149	0	0.856292	0.861527
7	WNV.1a.f.11	0.930935	-0.003377	0	0.857858	0.860031
8	TBV.f.58	0.867024	-0.007044	0	0.858529	0.863066
9	Deng.4.f3.18	0.880881	0.006871	0	0.861658	0.857216
10	JEVG.MV.f.47	0.908095	0.003034	0	0.862185	0.860222
11	WNV.f.1	0.946784	-0.004810	0	0.862270	0.865381
12	RioBrVG.0.ja.85	1.000000	-0.007594	0	0.861934	0.866845
13	UsutuV.j.55	0.819369	0.005569	0	0.866609	0.862988
14	TBVG.f.76	0.850975	0.002720	0	0.862448	0.860688
15	f.87	1.000000	-0.005656	0	0.864528	0.868196
16	Deng.1.f3.29	0.566697	-0.010788	0	0.866377	0.873389
17	Deng.3.f.32	1.000000	0.005545	0	0.870896	0.867274
18	JEVG.Nt.ja.53	1.000000	-0.000063	0	0.876812	0.876854
19	PowVG.f.81	0.591906	-0.012571	0	0.870964	0.879178
20	f.97	0.613710	0.008072	0	0.868942	0.863679
21	f.96	1.000000	0.000189	0	0.870588	0.870465
22	f.95	0.873825	-0.008426	0	0.845233	0.850576
23	f.94	0.935997	-0.002750	0	0.848379	0.850130
24	Deng.2.w2.31	0.819369	0.007588	0	0.854145	0.849282
25	JEVG.Ig.f.39	1.000000	-0.008222	0	0.856612	0.861896
26	WNV.1b.f.10	0.863636	0.007165	0	0.861973	0.857340
27	YFV.3.f.68-67	0.899854	-0.007711	0	0.863072	0.868066
28	TBV.f.57	0.850975	-0.001411	0	0.863760	0.864674
29	YFVG.ja.63-61	0.793844	-0.003288	0	0.864663	0.866796
30	WNV.f.9	0.841906	0.009275	0	0.865623	0.859600
31	f.98	0.748150	-0.010229	0	0.867113	0.873768
32	f.92	0.921355	-0.008883	0	0.868458	0.874245
33	YFVG.f2.62-61	1.000000	-0.007242	0	0.868545	0.873265
34	MosqFlav.3.f.71-70	0.908095	0.006821	0	0.869906	0.865454
35	Tyuleniy.f.83	0.941271	-0.002968	0	0.875571	0.877521
36	Meaban.ja.83	0.892011	0.001057	0	0.874315	0.873622
37	Edge_Hill.YFVG.j.60	1.000000	0.005402	0	0.867264	0.863749
38	NoVertHost.f.69	0.863710	0.001436	0	0.872533	0.871593
39	TBVG.f2.77	0.880881	-0.008807	0	0.876321	0.882111
