Spot ID	Substance	Confidence	Signal	Valid	Background	Mean
1	JE.j.34	0.903094	0.007959	0	0.889942	0.882418
2	SLEV.ja.50	1.000000	-0.003047	0	0.894700	0.897595
3	WNV.2.w2.13	0.903094	-0.000740	0	0.898748	0.899454
4	YFV.1.ja.67	1.000000	0.604156	0	0.895057	0.320646
5	JE.2.j.38	1.000000	-0.002154	0	0.900310	0.902370
6	MVEV.JEVG.MV.ja.48	0.832601	-0.004601	0	0.901115	0.905519
7	WNV.1a.f.11	0.858361	0.072417	0	0.895490	0.826605
8	TBV.f.58	0.931050	0.000966	0	0.899371	0.898449
9	Deng.4.f3.18	0.934975	-0.001885	0	0.907167	0.908984
10	JEVG.MV.f.47	0.899937	-0.000431	0	0.909677	0.910093
11	WNV.f.1	0.903094	-0.001994	0	0.910191	0.912119
12	RioBrVG.0.ja.85	0.931050	-0.004500	0	0.908444	0.912786
13	UsutuV.j.55	1.000000	0.014235	0	0.911735	0.897949
14	TBVG.f.76	1.000000	0.009214	0	0.913149	0.904211
15	f.87	0.750000	0.004258	0	0.912250	0.908123
16	Deng.1.f3.29	0.750000	-0.003409	0	0.914080	0.917390
17	Deng.3.f.32	0.876602	-0.000020	0	0.913222	0.913241
18	JEVG.Nt.ja.53	0.966856	0.002822	0	0.918467	0.915714
19	PowVG.f.81	0.934975	-0.008526	0	0.911541	0.919797
20	f.97	0.732211	-0.007671	0	0.913174	0.920615
21	f.96	0.754451	0.005803	0	0.910541	0.904928
22	f.95	0.931050	0.001488	0	0.898680	0.897260
23	f.94	0.931050	-0.002280	0	0.897473	0.899647
24	Deng.2.w2.31	1.000000	-0.003870	0	0.898039	0.901731
25	JEVG.Ig.f.39	0.966856	-0.006762	0	0.901007	0.907479
26	WNV.1b.f.10	0.931050	-0.003147	0	0.904235	0.907257
27	YFV.3.f.68-67	0.931050	-0.004079	0	0.906443	0.910371
28	TBV.f.57	0.947551	-0.000399	0	0.907249	0.907634
29	YFVG.ja.63-61	0.919923	0.059239	0	0.887947	0.832071
30	WNV.f.9	0.876602	-0.009358	0	0.899775	0.908719
31	f.98	0.863636	0.004179	0	0.914287	0.910228
32	f.92	0.750000	-0.001945	0	0.914102	0.915990
33	YFVG.f2.62-61	1.000000	0.017259	0	0.914812	0.898040
34	MosqFlav.3.f.71-70	0.863636	0.002143	0	0.914642	0.912560
35	Tyuleniy.f.83	1.000000	0.004923	0	0.916138	0.911347
36	Meaban.ja.83	0.876602	0.001344	0	0.918312	0.917001
37	Edge_Hill.YFVG.j.60	0.931050	0.003709	0	0.918502	0.914883
38	NoVertHost.f.69	0.890815	-0.000275	0	0.920658	0.920927
39	TBVG.f2.77	0.899937	-0.003140	0	0.918788	0.921852
40	WNV.2.f2.12	0.899937	0.000328	0	0.920311	0.919990
41	YFVG.f.61	0.837066	-0.001362	0	0.919467	0.920798
42	TBV.f.56	1.000000	0.005852	0	0.914977	0.909290
43	WNV.1a.f.7	0.899937	0.000427	0	0.900303	0.899895
44	RioBrVG.f.75-75	0.927240	-0.002806	0	0.901216	0.903902
45	TBVG.f.79-77	1.000000	-0.000270	0	0.901253	0.901511
46	JEVG.Zi.f.46-45	1.000000	0.020123	0	0.902495	0.883203
47	SLEV.jj.52	0.903094	-0.003848	0	0.907312	0.911021
48	JEVG.Ig-aroa.ja.41	0.618574	0.006191	0	0.908871	0.902895
49	aroa.JEVG.Ig.f.44-39	1.000000	-0.004393	0	0.910652	0.914901
50	JEVG.Ig.f.42	0.961683	-0.000875	0	0.911885	0.912733
51	f.86	0.848634	0.054583	0	0.909409	0.856682
52	RioBrVG.1.f2.84	0.966856	0.018221	0	0.916539	0.898800
53	TBVG.f.80-77	0.934975	0.019023	0	0.914265	0.895791
54	TBVG.f2.78	0.931050	-0.002643	0	0.916046	0.918618
55	JEVG.Zi.f.45	0.750000	0.005300	0	0.917772	0.912605
56	NoVertHost.0.f.73	0.858361	0.000294	0	0.917489	0.917203
57	Deng.4.w2.19	0.899937	0.007445	0	0.917381	0.910126
58	WNV.2.w2.14	0.858361	0.001190	0	0.915855	0.914697
59	UsutuV.f.54	0.860866	-0.008352	0	0.909842	0.917914
60	Deng.f.17	0.961683	0.125256	0	0.919701	0.797333
61	SeaBTB.ja.72	1.000000	-0.002660	0	0.920034	0.922634
62	JE.j.33	0.890815	-0.003672	0	0.919036	0.922620
63	Deng.1.f3.30	1.000000	0.005676	0	0.918333	0.912796
64	MVEV.JEVG.MV.j.49	1.000000	0.000788	0	0.903819	0.903062
65	JE.jj.36	0.858361	0.011381	0	0.903939	0.893011
66	SLEV.jj.51	1.000000	-0.004492	0	0.903472	0.907783
67	MosqFlav.f.70	1.000000	-0.002415	0	0.907962	0.910291
68	JEVG.Ig-aroa.ja.40	0.876602	-0.000997	0	0.910756	0.911720
69	JE.jj.37	0.863636	0.003370	0	0.910945	0.907684
70	JE.jj.35	1.000000	0.034393	0	0.893333	0.860696
71	YFV.f.66	1.000000	0.045516	0	0.910826	0.866789
72	Edge_Hill.YFVG.j.59	0.868574	0.047533	0	0.889589	0.844673
73	YFV.f.65	1.000000	0.722862	0	0.909837	0.211216
