Spot ID	Substance	Confidence	Signal	Valid	Background	Mean
1	JE.j.34	0.894560	-0.006768	0	0.884839	0.891200
2	SLEV.ja.50	0.975192	-0.004048	0	0.895987	0.899840
3	WNV.2.w2.13	0.760481	-0.002748	0	0.897116	0.899735
4	YFV.1.ja.67	0.962954	0.001289	0	0.900623	0.899390
5	JE.2.j.38	0.750000	0.006453	0	0.908218	0.901992
6	MVEV.JEVG.MV.ja.48	0.715871	-0.002449	0	0.908923	0.911288
7	WNV.1a.f.11	0.877292	-0.005159	0	0.907147	0.912119
8	TBV.f.58	0.921720	-0.000410	0	0.910776	0.911173
9	Deng.4.f3.18	0.939028	-0.000752	0	0.911198	0.911926
10	JEVG.MV.f.47	0.939028	0.077955	0	0.911009	0.835571
11	WNV.f.1	0.802664	0.009594	0	0.912425	0.903126
12	RioBrVG.0.ja.85	0.750000	0.025714	0	0.908945	0.884117
13	UsutuV.j.55	0.962954	-0.002449	0	0.909391	0.911757
14	TBVG.f.76	0.913820	0.502159	0	0.903135	0.421391
15	f.87	0.975192	0.066024	0	0.913919	0.849823
16	Deng.1.f3.29	0.613407	0.004620	0	0.916731	0.912232
17	Deng.3.f.32	0.948664	0.541562	0	0.914263	0.388315
18	JEVG.Nt.ja.53	0.852234	0.016003	0	0.920305	0.904661
19	PowVG.f.81	0.952063	0.290802	0	0.916864	0.633643
20	f.97	0.952063	0.034129	0	0.920580	0.887205
21	f.96	0.812301	0.007079	0	0.913707	0.906836
22	f.95	0.894560	0.000084	0	0.899593	0.899513
23	f.94	0.863636	0.004522	0	0.895664	0.891362
24	Deng.2.w2.31	0.896845	-0.001459	0	0.899920	0.901315
25	JEVG.Ig.f.39	1.000000	0.000413	0	0.902358	0.901962
26	WNV.1b.f.10	0.913820	0.002144	0	0.908015	0.905947
27	YFV.3.f.68-67	0.750000	-0.002350	0	0.909717	0.911988
28	TBV.f.57	1.000000	-0.002570	0	0.910572	0.913058
29	YFVG.ja.63-61	0.945364	-0.000404	0	0.911872	0.912264
30	WNV.f.9	0.750000	0.001036	0	0.911849	0.910846
31	f.98	0.975192	0.005486	0	0.916387	0.911047
32	f.92	0.939028	0.093698	0	0.915815	0.824664
33	YFVG.f2.62-61	0.869235	-0.003918	0	0.915213	0.919022
34	MosqFlav.3.f.71-70	0.901512	-0.001886	0	0.918059	0.919897
35	Tyuleniy.f.83	0.939028	-0.000861	0	0.917477	0.918317
36	Meaban.ja.83	0.901512	-0.001106	0	0.916416	0.917493
37	Edge_Hill.YFVG.j.60	1.000000	-0.003190	0	0.916885	0.919993
38	NoVertHost.f.69	0.952063	0.017390	0	0.917388	0.900442
39	TBVG.f2.77	1.000000	0.003055	0	0.922635	0.919640
40	WNV.2.f2.12	0.877292	-0.000942	0	0.923088	0.924012
41	YFVG.f.61	0.979672	0.129837	0	0.923203	0.795877
42	TBV.f.56	0.924454	0.008374	0	0.922212	0.914009
43	WNV.1a.f.7	0.913820	0.006103	0	0.898040	0.892218
44	RioBrVG.f.75-75	1.000000	0.004370	0	0.895607	0.891450
45	TBVG.f.79-77	1.000000	-0.001825	0	0.893292	0.895024
46	JEVG.Zi.f.46-45	1.000000	0.023287	0	0.906667	0.884239
47	SLEV.jj.52	0.894560	0.017616	0	0.908969	0.891960
48	JEVG.Ig-aroa.ja.41	0.901512	0.004864	0	0.913395	0.908675
49	aroa.JEVG.Ig.f.44-39	0.750000	0.015309	0	0.912452	0.897615
50	JEVG.Ig.f.42	0.921720	0.006246	0	0.918954	0.912857
51	f.86	0.975192	0.315728	0	0.911129	0.605556
52	RioBrVG.1.f2.84	0.788090	0.004127	0	0.919452	0.915421
53	TBVG.f.80-77	0.975192	0.014920	0	0.920389	0.905802
54	TBVG.f2.78	0.749351	0.002926	0	0.919020	0.916163
55	JEVG.Zi.f.45	1.000000	0.144904	0	0.918432	0.777064
56	NoVertHost.0.f.73	0.887884	0.005942	0	0.919896	0.914090
57	Deng.4.w2.19	0.979672	-0.003318	0	0.919662	0.922903
58	WNV.2.w2.14	0.962954	-0.004584	0	0.919727	0.924205
59	UsutuV.f.54	1.000000	0.006432	0	0.921953	0.915654
60	Deng.f.17	0.769955	0.003620	0	0.920125	0.916587
61	SeaBTB.ja.72	0.671720	-0.003446	0	0.923790	0.927171
62	JE.j.33	0.945364	-0.000703	0	0.924073	0.924763
63	Deng.1.f3.30	1.000000	0.000543	0	0.920664	0.920132
64	MVEV.JEVG.MV.j.49	0.921720	-0.001766	0	0.896412	0.898094
65	JE.jj.36	0.613636	0.004335	0	0.898040	0.893906
66	SLEV.jj.51	0.924454	0.005405	0	0.905522	0.900322
67	MosqFlav.f.70	0.750000	-0.000081	0	0.911182	0.911260
68	JEVG.Ig-aroa.ja.40	0.712954	-0.004403	0	0.911888	0.916153
69	JE.jj.37	1.000000	-0.008596	0	0.908904	0.917203
70	JE.jj.35	0.867273	0.010213	0	0.917051	0.907102
71	YFV.f.66	0.975192	0.000730	0	0.916564	0.915853
72	Edge_Hill.YFVG.j.59	0.727043	0.002784	0	0.918774	0.916057
73	YFV.f.65	0.913820	0.002184	0	0.920159	0.918025
74	RioBrVG.ja.74	0.715871	0.007137	0	0.922841	0.915845
75	YFV.f.64	1.000000	0.008440	0	0.921433	0.913172
76	WNV.2.f.8	0.924454	0.003175	0	0.921240	0.918133
77	f.88	1.000000	0.001436	0	0.920877	0.919472
78	f.43-16	0.924454	0.000337	0	0.921169	0.920840
79	fw.23	0.975192	0.009987	0	0.922484	0.912697
80	f.93	0.869235	0.002953	0	0.921914	0.919022
81	f.99	0.979672	0.087666	0	0.918931	0.833358
82	f.90	1.000000	-0.000408	0	0.922300	0.922699
83	f.91	0.702063	-0.003529	0	0.923522	0.926984
