Spot ID	Substance	Confidence	Signal	Valid	Background	Mean
1	JE.j.34	1.000000	0.197692	0	0.900061	0.711052
2	SLEV.ja.50	1.000000	-0.000516	0	0.904263	0.904758
3	WNV.2.w2.13	0.872481	0.001939	0	0.907510	0.905641
4	YFV.1.ja.67	0.910485	0.001988	0	0.909141	0.907221
5	JE.2.j.38	0.942321	0.004800	0	0.908254	0.903624
6	MVEV.JEVG.MV.ja.48	0.581332	0.005207	0	0.904911	0.899907
7	WNV.1a.f.11	1.000000	0.095102	0	0.905084	0.813650
8	TBV.f.58	1.000000	-0.003902	0	0.904512	0.908261
9	Deng.4.f3.18	0.863636	-0.006169	0	0.903565	0.909486
10	JEVG.MV.f.47	0.807563	-0.003087	0	0.904413	0.907379
11	WNV.f.1	1.000000	0.042593	0	0.904741	0.863807
12	RioBrVG.0.ja.85	0.872481	-0.000570	0	0.904446	0.904994
13	UsutuV.j.55	0.863636	-0.006962	0	0.903546	0.910228
14	TBVG.f.76	0.831332	-0.002159	0	0.902681	0.904751
15	f.87	0.704538	-0.004430	0	0.903538	0.907790
16	Deng.1.f3.29	0.692321	0.006488	0	0.907844	0.901587
17	Deng.3.f.32	1.000000	0.002957	0	0.909930	0.907072
18	JEVG.Nt.ja.53	0.942321	0.012795	0	0.908897	0.896544
19	PowVG.f.81	0.868718	-0.001645	0	0.907447	0.909033
20	f.97	0.834477	0.002919	0	0.908249	0.905433
21	f.96	0.942321	0.033505	0	0.901124	0.869053
22	f.95	1.000000	0.006250	0	0.903839	0.897838
23	f.94	0.892542	-0.001480	0	0.905007	0.906430
24	Deng.2.w2.31	0.892542	0.017378	0	0.905744	0.889025
25	JEVG.Ig.f.39	0.736117	0.004949	0	0.907260	0.902490
26	WNV.1b.f.10	1.000000	0.006604	0	0.907038	0.900675
27	YFV.3.f.68-67	0.807563	0.001412	0	0.906213	0.904854
28	TBV.f.57	0.840902	-0.002999	0	0.905414	0.908298
29	YFVG.ja.63-61	0.750000	0.002949	0	0.908794	0.905947
30	WNV.f.9	1.000000	0.074767	0	0.907063	0.835023
31	f.98	1.000000	0.005011	0	0.906727	0.901901
32	f.92	0.872481	0.002657	0	0.907203	0.904643
33	YFVG.f2.62-61	0.942321	-0.001755	0	0.905414	0.907102
34	MosqFlav.3.f.71-70	0.847518	-0.002781	0	0.903856	0.906526
35	Tyuleniy.f.83	0.942321	-0.002886	0	0.898539	0.901293
36	Meaban.ja.83	1.000000	-0.002283	0	0.903868	0.906061
37	Edge_Hill.YFVG.j.60	0.597518	-0.002308	0	0.905717	0.907937
38	NoVertHost.f.69	0.847518	0.002523	0	0.906733	0.904302
39	TBVG.f2.77	0.721480	-0.003122	0	0.908698	0.911712
40	WNV.2.f2.12	0.868718	-0.003301	0	0.907133	0.910314
41	YFVG.f.61	0.905806	-0.003634	0	0.906951	0.910452
42	TBV.f.56	0.948489	-0.002576	0	0.903819	0.906292
43	WNV.1a.f.7	1.000000	0.029672	0	0.904975	0.876451
44	RioBrVG.f.75-75	0.905806	-0.003262	0	0.903482	0.906613
45	TBVG.f.79-77	0.901264	-0.001863	0	0.901739	0.903523
46	JEVG.Zi.f.46-45	0.910485	0.004100	0	0.905582	0.901638
47	SLEV.jj.52	0.788451	-0.004079	0	0.904669	0.908589
48	JEVG.Ig-aroa.ja.41	1.000000	0.005749	0	0.907370	0.901829
49	aroa.JEVG.Ig.f.44-39	0.863636	-0.003400	0	0.908008	0.911288
50	JEVG.Ig.f.42	1.000000	-0.000424	0	0.911213	0.911624
51	f.86	1.000000	0.000185	0	0.912204	0.912024
52	RioBrVG.1.f2.84	0.942321	-0.000712	0	0.910784	0.911473
53	TBVG.f.80-77	1.000000	-0.004542	0	0.905883	0.910254
54	TBVG.f2.78	0.863636	-0.004069	0	0.905149	0.909062
55	JEVG.Zi.f.45	0.756178	-0.003738	0	0.903778	0.907366
56	NoVertHost.0.f.73	0.834477	-0.002764	0	0.902019	0.904667
57	Deng.4.w2.19	1.000000	-0.006906	0	0.901264	0.907876
58	WNV.2.w2.14	0.831332	-0.005181	0	0.902843	0.907811
59	UsutuV.f.54	0.807563	-0.003474	0	0.902875	0.906207
60	Deng.f.17	0.732354	0.002528	0	0.905027	0.902596
61	SeaBTB.ja.72	0.694968	-0.004773	0	0.905847	0.910440
62	JE.j.33	0.942321	0.188326	0	0.904903	0.723880
63	Deng.1.f3.30	0.807563	0.003128	0	0.905742	0.902733
64	MVEV.JEVG.MV.j.49	1.000000	0.011404	0	0.903021	0.892082
65	JE.jj.36	1.000000	0.172257	0	0.900950	0.736095
66	SLEV.jj.51	0.819157	-0.000836	0	0.902831	0.903633
67	MosqFlav.f.70	0.613636	0.002851	0	0.906720	0.903974
68	JEVG.Ig-aroa.ja.40	0.857843	0.001814	0	0.906567	0.904820
69	JE.jj.37	1.000000	0.160985	0	0.905956	0.751033
70	JE.jj.35	1.000000	0.027194	0	0.907227	0.881020
71	YFV.f.66	0.822143	0.002229	0	0.912586	0.910425
72	Edge_Hill.YFVG.j.59	0.538451	-0.001468	0	0.911931	0.913352
73	YFV.f.65	0.863636	-0.003455	0	0.910384	0.913725
74	RioBrVG.ja.74	1.000000	-0.003585	0	0.907502	0.910958
75	YFV.f.64	0.584477	-0.005666	0	0.907516	0.912979
76	WNV.2.f.8	0.942321	0.005004	0	0.905676	0.900862
77	f.88	0.868718	-0.005445	0	0.903933	0.909161
78	f.43-16	1.000000	0.104894	0	0.904656	0.803857
79	fw.23	0.736117	0.003777	0	0.905594	0.901961
80	f.93	0.892542	0.004608	0	0.907498	0.903056
