Spot ID	Substance	Confidence	Signal	Valid	Background	Mean
1	JE.j.34	1.000000	-0.004267	0	0.880157	0.884147
2	SLEV.ja.50	1.000000	-0.001437	0	0.892371	0.893732
3	WNV.2.w2.13	0.777547	-0.000278	0	0.894320	0.894584
4	YFV.1.ja.67	0.863480	-0.002436	0	0.897981	0.900304
5	JE.2.j.38	1.000000	-0.005638	0	0.895023	0.900383
6	MVEV.JEVG.MV.ja.48	1.000000	0.015004	0	0.897096	0.882799
7	WNV.1a.f.11	1.000000	0.636259	0	0.896842	0.290702
8	TBV.f.58	0.803009	0.001112	0	0.900964	0.899900
9	Deng.4.f3.18	0.750000	0.005512	0	0.904234	0.898940
10	JEVG.MV.f.47	1.000000	0.007237	0	0.902924	0.895983
11	WNV.f.1	1.000000	0.185944	0	0.902058	0.723886
12	RioBrVG.0.ja.85	0.902045	-0.001563	0	0.908014	0.909521
13	UsutuV.j.55	0.699218	-0.006808	0	0.906955	0.913513
14	TBVG.f.76	1.000000	0.009531	0	0.906449	0.897272
15	f.87	1.000000	0.006255	0	0.908836	0.902797
16	Deng.1.f3.29	0.839989	-0.003460	0	0.910572	0.913919
17	Deng.3.f.32	0.839989	-0.006136	0	0.910139	0.916071
18	JEVG.Nt.ja.53	0.822848	-0.003328	0	0.909720	0.912936
19	PowVG.f.81	0.835582	-0.003987	0	0.907160	0.911001
20	f.97	0.750000	0.016453	0	0.911339	0.895412
21	f.96	1.000000	0.020148	0	0.891654	0.872570
22	f.95	0.839989	-0.005778	0	0.889048	0.894504
23	f.94	0.835582	0.007594	0	0.896946	0.889710
24	Deng.2.w2.31	0.839989	0.006680	0	0.896773	0.890410
25	JEVG.Ig.f.39	0.750000	-0.009070	0	0.894195	0.902811
26	WNV.1b.f.10	0.928993	-0.005953	0	0.898744	0.904428
27	YFV.3.f.68-67	0.742649	-0.009430	0	0.901200	0.910228
28	TBV.f.57	0.879012	-0.003928	0	0.903911	0.907683
29	YFVG.ja.63-61	1.000000	-0.009298	0	0.905426	0.914369
30	WNV.f.9	1.000000	0.232102	0	0.906713	0.683165
31	f.98	1.000000	0.024977	0	0.908396	0.884295
32	f.92	0.589989	-0.006145	0	0.909655	0.915593
33	YFVG.f2.62-61	1.000000	-0.003962	0	0.910230	0.914061
34	MosqFlav.3.f.71-70	1.000000	0.004252	0	0.908765	0.904661
35	Tyuleniy.f.83	0.839989	0.008126	0	0.913986	0.906096
36	Meaban.ja.83	1.000000	-0.008746	0	0.905821	0.914236
37	Edge_Hill.YFVG.j.60	0.879012	0.007851	0	0.912767	0.905155
38	NoVertHost.f.69	0.839989	0.008772	0	0.914014	0.905497
39	TBVG.f2.77	0.589989	0.004360	0	0.915163	0.910924
40	WNV.2.f2.12	0.902045	-0.002523	0	0.912050	0.914494
41	YFVG.f.61	0.803009	-0.005502	0	0.910532	0.915853
42	TBV.f.56	0.921772	-0.015307	0	0.898748	0.913362
43	WNV.1a.f.7	1.000000	0.229725	0	0.891023	0.673592
44	RioBrVG.f.75-75	1.000000	0.005769	0	0.898736	0.893229
45	TBVG.f.79-77	0.879012	-0.002742	0	0.898766	0.901384
46	JEVG.Zi.f.46-45	1.000000	0.023720	0	0.900545	0.877855
47	SLEV.jj.52	0.921772	-0.004035	0	0.903046	0.906917
48	JEVG.Ig-aroa.ja.41	1.000000	-0.002437	0	0.903225	0.905564
49	aroa.JEVG.Ig.f.44-39	0.750000	0.007444	0	0.909338	0.902147
50	JEVG.Ig.f.42	0.585582	0.003729	0	0.910797	0.907190
51	f.86	0.500000	-0.003993	0	0.912098	0.915966
52	RioBrVG.1.f2.84	0.671772	0.004718	0	0.916263	0.911671
53	TBVG.f.80-77	0.839989	0.003110	0	0.914110	0.911090
54	TBVG.f2.78	0.750000	0.025189	0	0.914861	0.890383
55	JEVG.Zi.f.45	0.803009	0.002948	0	0.913425	0.910565
