Sample;UsutuV.f.54;JEVG.Ig-aroa.ja.41;JE.2.j.38;f.90;SLEV.jj.51;Deng.2.w2.31;0,1M NaPP Standard pH 9;YFV.f.66;NoVertHost.f.69;aroa.JEVG.Ig.f.44-39;UsutuV.j.55;f.43-16;Deng.f.17;Edge_Hill.YFVG.j.60;WNV.2.w2.13;YFV.f.65;YFV.f.64;NoVertHost.0.f.73;RioBrVG.0.ja.85;TBV.f.58;Deng.4.w2.19;TBV.f.57;TBV.f.56;WNV.1b.f.10;TBVG.f.80-77;SeaBTB.ja.72;WNV.2.f.8;f.92;f.91;TBVG.f2.77;f.97;f.96;f.95;f.94;f.93;f.99;f.98;MVEV.JEVG.MV.ja.48;YFV.3.f.68-67;JEVG.Ig.f.39;SLEV.jj.52;JEVG.Ig-aroa.ja.40;Deng.4.f3.18;RioBrVG.ja.74;Deng.3.f.32;WNV.f.1;WNV.1a.f.7;YFVG.f2.62-61;MVEV.JEVG.MV.j.49;WNV.f.9;JE.jj.36;MosqFlav.3.f.71-70;Deng.1.f3.29;Meaban.ja.83;PowVG.f.81;JEVG.Ig.f.42;Edge_Hill.YFVG.j.59;WNV.2.w2.14;Biotin-Marke_2,5??M;WNV.2.f2.12;JEVG.Zi.f.45;JE.jj.35;JE.j.33;RioBrVG.1.f2.84;SLEV.ja.50;JE.j.34;JEVG.Nt.ja.53;Tyuleniy.f.83;WNV.1a.f.11;TBVG.f.76;YFVG.ja.63-61;YFVG.f.61;fw.23;MosqFlav.f.70;JEVG.Zi.f.46-45;JE.jj.37;TBVG.f2.78;f.86;f.87;f.88;JEVG.MV.f.47;RioBrVG.f.75-75;YFV.1.ja.67;TBVG.f.79-77;Deng.1.f3.30
AVR.x316C06.x318G01;-0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;-0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,11;0,00;0,03;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00
MosqP-M1008.Cat.x316C01.x318A01;0,00;0,02;0,00;0,00;0,01;0,00;0,00;0,04;0,00;0,00;0,00;0,14;0,00;0,00;0,01;0,00;0,00;0,01;0,00;0,01;0,00;0,02;0,00;0,00;0,00;0,00;0,04;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,02;0,00;0,01;0,00;-0,01;0,68;0,62;0,00;0,01;0,65;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,00;1,15;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,83;0,00;0,01;0,00;0,09;0,00;0,04;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,01;-0,01;0,00
MosqP-M1122.Cat.x316C04.x318B01;0,00;0,01;0,00;0,01;0,00;0,01;0,01;0,00;0,00;0,01;0,00;0,00;0,00;0,00;-0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,02;0,01;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,00;0,00;-0,01;0,00;0,00;0,01;0,04;0,03;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;-0,01;0,00;0,00;0,01;0,00;0,00;0,10;0,00;0,03;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,00;0,01
MosqP-M910.Cat.x316A04.x318C01;0,01;0,01;0,00;0,00;0,01;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,07;0,00;0,03;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
NTC.x316H12.x318G01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,10;0,00;0,04;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
SLEFV-7.x311E03.x318D01;0,00;0,00;0,00;0,01;0,51;0,01;-0,01;0,01;0,00;0,00;-0,01;0,05;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,02;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,00;0,00;0,11;0,03;0,00;0,00;0,01;0,00;0,08;0,01;0,00;0,00;0,26;0,01;0,00;0,00;0,00;0,05;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,00;1,70;0,00;0,00;0,00;0,00;0,01;0,96;0,00;0,00;0,00;0,00;0,00;-0,01;-0,01;0,19;0,00;0,04;0,01;0,00;0,00;0,01;0,00;0,13;0,00;0,00;0,00;0,00
WNV.NY-4.x316G12.x318G01;0,00;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,54;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,24;0,00;0,00;0,00;0,00;0,01;0,00;0,01;0,02;0,01;0,02;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,91;0,95;0,04;0,00;0,94;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,02;0,97;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,98;0,00;0,00;0,00;0,10;0,00;0,03;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00
H2O.x321H02.x322H02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,05;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
JEV.23.3x10-4.x321B02.x322B02;0,00;0,00;0,01;0,01;0,00;0,00;-0,02;0,00;0,02;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,01;0,00;0,01;0,02;0,01;0,01;0,00;0,00;0,00;-0,01;0,00;0,00;0,01;0,00;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,00;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,01;0,00;0,01;-0,01;0,00;1,00;0,00;0,01;0,01;0,00;0,01;0,00;0,00;0,02;0,01;0,00;0,00;0,04;0,00;0,02;0,00;0,01;-0,01;0,00;0,01;0,01;0,00;0,02;0,01;0,01;0,02;0,02
JEV.25.5x10-4.x321A02.x322A02;0,00;0,00;0,00;0,00;0,00;0,00;-0,01;0,01;0,00;0,00;0,00;0,00;-0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,02;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,00;0,00;-0,01;0,00;1,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,03;0,00;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,01;-0,01
